index,family,kind,n,m,delta,siriaisa_size,optimum,ratio,expected_constant,within_bound,siriaisa_ms,milp_ms
5852,ladder,bounded,4,4,2,2,2,1.0000,3.0000,1,0.763,1.029
5853,grid,bounded,9,12,4,3,3,1.0000,4.0000,1,1.465,9.327
5854,regular,bounded,18,45,5,4,4,1.0000,5.0000,1,2.875,10.479
5855,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,1.952,12.453
5856,lollipop,bounded,7,12,5,2,2,1.0000,5.0000,1,1.331,1.152
5857,clique,rigid,2,1,1,1,1,1.0000,1.0000,1,0.464,0.884
5858,star,rigid,31,30,30,1,1,1.0000,1.0000,1,2.546,1.290
5859,complete_bipartite,rigid,16,63,9,7,7,1.0000,1.0000,1,2.375,1.467
5860,crown,rigid,12,30,5,2,2,1.0000,1.0000,1,1.394,8.421
5861,double_star,rigid,7,6,5,2,2,1.0000,1.0000,1,1.389,1.007
5862,erdos_renyi,random,29,51,9,9,9,1.0000,9.0000,1,5.026,9.951
5863,barabasi_albert,random,9,14,6,2,2,1.0000,6.0000,1,1.579,9.131
5864,random_tree,random,15,14,4,6,6,1.0000,4.0000,1,2.100,11.740
5865,path,bounded,10,9,2,4,4,1.0000,2.0000,1,1.473,11.954
5866,cycle,bounded,18,18,2,6,6,1.0000,2.0000,1,2.546,11.695
5867,ladder,bounded,26,37,3,7,7,1.0000,3.0000,1,3.886,10.167
5868,grid,bounded,8,10,3,3,3,1.0000,4.0000,1,1.479,9.913
5869,regular,bounded,20,30,3,6,6,1.0000,3.0000,1,2.584,13.236
5870,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,1.990,12.403
5871,lollipop,bounded,12,14,4,4,4,1.0000,4.0000,1,1.919,11.913
5872,clique,rigid,2,1,1,1,1,1.0000,1.0000,1,0.472,1.021
5873,star,rigid,3,2,2,1,1,1.0000,1.0000,1,0.700,0.895
5874,complete_bipartite,rigid,9,18,6,3,3,1.0000,1.0000,1,1.379,1.068
5875,crown,rigid,8,12,3,2,2,1.0000,1.0000,1,0.984,9.182
5876,double_star,rigid,19,18,13,6,6,1.0000,1.0000,1,2.375,1.111
5877,erdos_renyi,random,16,14,3,7,7,1.0000,3.0000,1,2.638,10.066
5878,barabasi_albert,random,8,12,5,2,2,1.0000,5.0000,1,1.403,9.700
5879,random_tree,random,32,31,6,13,13,1.0000,6.0000,1,4.317,13.530
5880,path,bounded,15,14,2,5,5,1.0000,2.0000,1,2.137,10.885
5881,cycle,bounded,14,14,2,5,5,1.0000,2.0000,1,1.968,10.959
5882,ladder,bounded,26,37,3,7,7,1.0000,3.0000,1,3.977,10.616
5883,grid,bounded,30,49,4,8,8,1.0000,4.0000,1,5.131,32.094
5884,regular,bounded,23,46,4,5,5,1.0000,4.0000,1,2.909,18.687
5885,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.511,1.023
5886,lollipop,bounded,8,10,4,2,2,1.0000,4.0000,1,1.245,0.955
5887,clique,rigid,3,3,2,1,1,1.0000,1.0000,1,0.588,0.853
5888,star,rigid,14,13,13,1,1,1.0000,1.0000,1,1.338,0.934
5889,complete_bipartite,rigid,17,70,10,7,7,1.0000,1.0000,1,2.770,1.872
5890,crown,rigid,4,2,1,2,2,1.0000,1.0000,1,0.883,0.909
5891,double_star,rigid,9,8,6,3,3,1.0000,1.0000,1,1.230,0.894
5892,erdos_renyi,random,11,12,6,3,3,1.0000,6.0000,1,1.832,10.973
